"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,37610.00,149.00,54.00,2.00,0.00,692.00,107.00,96.00,"Delta Air Lines Inc.","DL","ABE","ATL",7,"715",1,1998,2,6,2,"F",
0.00,1.00,7500.00,30.00,15.00,0.00,0.00,50.00,30.00,16.00,"ExpressJet Airlines Inc.","RU","ABE","AVP",4,"461",1,1998,2,6,1,"F",
0.00,1.00,37638.00,144.00,123.00,177.00,978.00,480.00,97.00,80.00,"US Airways Inc.","US","ABE","CLT",6,"617",1,1998,2,6,1,"F",
0.00,1.00,34300.00,142.00,34.00,0.00,2867.00,151.00,47.00,30.00,"Delta Air Lines Inc.","DL","ABE","DCA",6,"655",1,1998,2,6,1,"F",
0.00,1.00,35940.00,144.00,41.00,0.00,0.00,67.00,33.00,21.00,"United Air Lines Inc.","UA","ABE","EWR",6,"694",1,1998,2,6,1,"F",
0.00,1.00,10500.00,46.00,35.00,0.00,0.00,67.00,25.00,15.00,"ExpressJet Airlines Inc.","RU","ABE","EWR",4,"441",1,1998,2,6,1,"F",
0.00,1.00,10800.00,50.00,44.00,0.00,0.00,67.00,40.00,26.00,"ExpressJet Airlines Inc.","RU","ABE","EWR",6,"675",1,1998,2,6,1,"F",
0.00,1.00,32824.00,126.00,65.00,45.00,939.00,398.00,140.00,123.00,"US Airways Inc.","US","ABE","GSO",6,"619",1,1998,2,6,1,"F",
0.00,1.00,47000.00,183.00,172.00,0.00,700.00,87.00,74.00,45.00,"Delta Air Lines Inc.","DL","ABE","JFK",6,"622",1,1998,2,6,1,"F",
0.00,1.00,34300.00,142.00,133.00,18.00,0.00,87.00,77.00,46.00,"Delta Air Lines Inc.","DL","ABE","JFK",6,"655",1,1998,2,6,1,"F",
0.00,2.00,74920.00,298.00,123.00,368.00,1001.00,77.00,66.00,46.00,"Delta Air Lines Inc.","DL","ABE","MDT",7,"715",1,1998,2,6,1,"F",
0.00,1.00,36924.00,142.00,94.00,0.00,0.00,253.00,56.00,44.00,"US Airways Inc.","US","ABE","PIT",6,"655",1,1998,2,6,1,"F",
0.00,1.00,37638.00,144.00,81.00,0.00,0.00,222.00,61.00,49.00,"US Airways Inc.","US","ABE","PVD",6,"617",1,1998,2,6,1,"F",
0.00,1.00,31800.00,126.00,121.00,115.00,1240.00,187.00,35.00,29.00,"United Air Lines Inc.","UA","ABI","AUS",6,"619",1,1998,2,6,1,"F",
0.00,1.00,47000.00,183.00,173.00,2458.00,104.00,562.00,84.00,73.00,"Delta Air Lines Inc.","DL","ABI","JAN",6,"622",1,1998,2,6,2,"F",
0.00,1.00,27534.00,104.00,104.00,180.00,814.00,613.00,170.00,158.00,"Continental Air Lines Inc.","CO","ABQ","AUS",6,"616",1,1998,2,6,2,"F",
0.00,1.00,48250.00,190.00,179.00,346.00,2207.00,487.00,96.00,78.00,"America West Airlines Inc.","HP","ABQ","LAS",6,"622",1,1998,2,6,1,"F",
0.00,1.00,32120.00,128.00,121.00,0.00,0.00,677.00,126.00,114.00,"Continental Air Lines Inc.","CO","ABQ","LAX",6,"619",1,1998,2,6,2,"F",
0.00,1.00,36300.00,149.00,148.00,1.00,500.00,328.00,69.00,55.00,"Delta Air Lines Inc.","DL","ABQ","PHX",7,"715",1,1998,2,6,1,"F",
0.00,1.00,47000.00,183.00,151.00,800.00,1400.00,628.00,107.00,92.00,"Delta Air Lines Inc.","DL","ABQ","SAN",6,"622",1,1998,2,6,2,"F",
0.00,2.00,47352.00,208.00,143.00,0.00,0.00,650.00,238.00,202.00,"Continental Air Lines Inc.","CO","ABQ","SNA",6,"616",1,1998,2,6,2,"F",
0.00,1.00,13346.00,50.00,22.00,0.00,0.00,146.00,75.00,33.00,"ExpressJet Airlines LLC","EV","ABY","ATL",6,"628",1,1998,2,6,1,"F",
